"Processing","Processing",module,Madkting_Connect
"Complete","Complete",module,Madkting_Connect
"None","None",module,Madkting_Connect
"Create","Create",module,Madkting_Connect
"Update","Update",module,Madkting_Connect
"Delete","Delete",module,Madkting_Connect
"Create in Yuju","Create in Yuju",module,Madkting_Connect
"Update in Yuju","Update in Yuju",module,Madkting_Connect
"Delete in Yuju","Delete in Yuju",module,Madkting_Connect
"Delete products on Yuju","Delete products on Yuju",module,Madkting_Connect
"Are you sure to delete selected products?","Are you sure to delete selected products?",module,Madkting_Connect
"Create %1 on Yuju","Create %1 on Yuju",module,Madkting_Connect
"Create %1","Create %1",module,Madkting_Connect
"Product","Product",module,Madkting_Connect
"Products","Products",module,Madkting_Connect
"No products selected","No products selected",module,Madkting_Connect
"Synchronize","Synchronize",module,Madkting_Connect
"Orders","Orders",module,Madkting_Connect
"Synchronize Orders","Synchronize Orders",module,Madkting_Connect
"Permanent Synchronization","Permanent Synchronization",module,Madkting_Connect
"Upload Disabled Products","Upload Disabled Products",module,Madkting_Connect
"Disable Attributes Update","Disable Attributes Update",module,Madkting_Connect
"Enable All","Enable All",module,Madkting_Connect
"Update All","Update All",module,Madkting_Connect
"Update all the products created in Yuju.","Update all the products created in Yuju.",module,Madkting_Connect
"Update Stock and Price","Update Stock and Price",module,Madkting_Connect
"Update only stock and price in all the products created in Yuju.","Update only stock and price in all the products created in Yuju.",module,Madkting_Connect
"Synchronization","Synchronization",module,Madkting_Connect
"Yuju's Store","Yuju's Store",module,Madkting_Connect
"Create Disabled Products","Create Disabled Products",module,Madkting_Connect
"If you turn on this field products will be created without regard them status in Magento.","If you turn on this field products will be created without regard them status in Magento.",module,Madkting_Connect
"This is a required field.","This is a required field.",module,Madkting_Connect
"Creating %1 %2 in Yuju","Creating %1 %2 in Yuju",module,Madkting_Connect
"product","product",module,Madkting_Connect
"products","products",module,Madkting_Connect
"There are no new products to create in selection","There are no new products to create in selection",module,Madkting_Connect
"Product %1 is already queued","Product %1 is already queued",module,Madkting_Connect
"Product %1 queue error = %2","Product %1 queue error = %2",module,Madkting_Connect
"No product could be placed in the queue, please see the debug log for more information","No product could be placed in the queue, please see the debug log for more information",module,Madkting_Connect
"Synchronization process successfully started with %1 errors","Synchronization process successfully started with %1 errors",module,Madkting_Connect
"Synchronization process successfully started without errors","Synchronization process successfully started without errors",module,Madkting_Connect
"Next massive synchronization will be available in %1 %3 and %2 %4.","Next massive synchronization will be available in %1 %3 and %2 %4.",module,Madkting_Connect
"hours","hours",module,Madkting_Connect
"hour","hour",module,Madkting_Connect
"minutes","minutes",module,Madkting_Connect
"minute","minute",module,Madkting_Connect
"Synchronization","Synchronization",module,Madkting_Connect
"You don't have any product in Yuju yet. You must have products in Yuju in order to run this process.","You don't have any product in Yuju yet. You must have products in Yuju in order to run this process.",module,Madkting_Connect
"Yuju Status","Yuju Status",module,Madkting_Connect
"No Synchronized","No Synchronized",module,Madkting_Connect
"Yuju ID","Yuju ID",module,Madkting_Connect
"Yuju Shop","Yuju Shop",module,Madkting_Connect
"Marketplace Order Reference","Marketplace Order Reference",module,Madkting_Connect
"Yuju Type","Yuju Type",module,Madkting_Connect
"No attribute match defined","No attribute match defined",module,Madkting_Connect
"%1 max length is %2","%1 max length is %2",module,Madkting_Connect
"%1 is required","%1 is required",module,Madkting_Connect
"Yuju Status Message","Yuju Status Message",module,Madkting_Connect
"Warning","Warning",module,Madkting_Connect
"Parent Warning","Parent Warning",module,Madkting_Connect
"Parent product has not been created in Yuju yet","Parent product has not been created in Yuju yet",module,Madkting_Connect
